# step total l_xy l_wh l_obj l_noobj l_cls mAP
Epoch 1 mAP:1.247105e-05total:8577.5527 l_xy:214.7466 l_wh:773.3191 l_obj:114.8051 l_noobj:7001.8110 l_cls:472.8708
Epoch 2 mAP:0.000000e+00total:2649.8474 l_xy:215.5370 l_wh:913.9936 l_obj:246.6890 l_noobj:728.7822 l_cls:544.8457
Epoch 3 mAP:8.929133e-05total:1315.6741 l_xy:164.9660 l_wh:566.1984 l_obj:157.9516 l_noobj:170.0351 l_cls:256.5230
Epoch 4 mAP:3.989474e-04total:1156.0979 l_xy:150.2573 l_wh:505.5038 l_obj:143.9266 l_noobj:140.1545 l_cls:216.2557
Epoch 5 mAP:7.168132e-04total:1077.1008 l_xy:145.3094 l_wh:477.4374 l_obj:133.8894 l_noobj:126.8148 l_cls:193.6498
Epoch 6 mAP:2.512235e-04total:1004.4318 l_xy:138.3884 l_wh:446.8834 l_obj:128.1057 l_noobj:115.6641 l_cls:175.3902
Epoch 7 mAP:3.334490e-04total:947.2653 l_xy:133.7065 l_wh:425.1970 l_obj:121.5459 l_noobj:108.0292 l_cls:158.7866
Epoch 8 mAP:1.200311e-04total:899.0706 l_xy:129.2359 l_wh:407.2662 l_obj:116.0190 l_noobj:100.8566 l_cls:145.6930
Epoch 9 mAP:2.970885e-04total:868.7479 l_xy:126.9181 l_wh:398.2365 l_obj:111.3213 l_noobj:96.8835 l_cls:135.3886
Epoch 10 mAP:9.284017e-06total:834.4572 l_xy:124.1503 l_wh:384.0926 l_obj:105.2371 l_noobj:91.6162 l_cls:129.3610


leider ist mAP wieder gesunken. reduziere l_noob um 50% auf 0.1. trainiere erneut 10 Epochen -> concorde020
